Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
2001,April,9,Monday,NBC,1,1,12
2001,April,9,Monday,NBC,2,4,12
2001,April,10,Tuesday,ABC,1,16,12
2001,April,10,Tuesday,ABC,2,12,12
2001,April,10,Tuesday,CBS,1,16,12
2001,April,10,Tuesday,CBS,2,19,12
2001,April,10,Tuesday,NBC,1,1,12
2001,April,10,Tuesday,NBC,2,16,12
2001,April,11,Wednesday,ABC,1,16,12
2001,April,11,Wednesday,ABC,2,26,12
2001,April,11,Wednesday,CBS,1,16,12
2001,April,11,Wednesday,CBS,2,26,12
2001,April,11,Wednesday,NBC,1,16,12
2001,April,11,Wednesday,NBC,2,19,12
2001,April,12,Thursday,ABC,1,16,12
2001,April,12,Thursday,ABC,2,15,12
2001,April,12,Thursday,CBS,1,16,12
2001,April,12,Thursday,CBS,2,19,12
2001,April,12,Thursday,NBC,1,16,12
2001,April,12,Thursday,NBC,2,13,12
2001,April,13,Friday,ABC,1,16,12
2001,April,13,Friday,ABC,2,16,12
2001,April,13,Friday,CBS,1,16,12
2001,April,13,Friday,CBS,2,16,12
2001,April,13,Friday,NBC,1,16,12
2001,April,13,Friday,NBC,2,16,12
2001,April,16,Monday,ABC,1,19,12
2001,April,16,Monday,ABC,2,19,12
2001,April,16,Monday,CBS,1,8,12
2001,April,16,Monday,CBS,2,19,12
2001,April,16,Monday,NBC,1,1,12
2001,April,16,Monday,NBC,2,16,12
2001,April,17,Tuesday,ABC,1,26,12
2001,April,17,Tuesday,ABC,2,19,12
2001,April,17,Tuesday,CBS,1,1,12
2001,April,17,Tuesday,CBS,2,15,12
2001,April,17,Tuesday,NBC,1,19,12
2001,April,17,Tuesday,NBC,2,26,12
2001,April,18,Wednesday,ABC,1,1,12
2001,April,18,Wednesday,ABC,2,16,12
2001,April,18,Wednesday,CBS,1,1,12
2001,April,18,Wednesday,CBS,2,26,12
2001,April,18,Wednesday,NBC,1,1,12
2001,April,18,Wednesday,NBC,2,12,12
2001,April,19,Thursday,ABC,1,12,12
